,year,country,sitc,export
0,2018,ABW,240,77286
1,2018,ARE,240,35899857
2,2018,AUT,240,682588727
3,2018,DEU,240,4490878590
4,2018,DNK,240,1623338476
5,2018,FRA,240,3562469100
6,2018,GBR,240,888758637
7,2018,HUN,240,139373594
8,2018,IRN,240,6272389
9,2018,LTU,240,222735643
10,2018,NLD,240,3928760836
11,2018,POL,240,897007307
12,2018,TUR,240,161622512
13,2018,UKR,240,28931029
14,2018,USA,240,1428258424
15,2018,UZB,240,27291
16,2018,AFG,240,0
17,2018,AGO,240,4386
18,2018,ARG,240,201361579
19,2018,ARM,240,6816839
20,2018,AUS,240,601822150
21,2018,AZE,240,2596554
22,2018,BDI,240,0
23,2018,BEL,240,1016494521
24,2018,BGD,240,0
25,2018,BGR,240,83667004
26,2018,BHR,240,106054905
27,2018,BIH,240,3664931
28,2018,BLR,240,804822795
29,2018,BLZ,240,0
30,2018,BRA,240,18804838
31,2018,BRN,240,15131
32,2018,CAN,240,53635378
33,2018,CHE,240,644932672
34,2018,CHN,240,2459483
35,2018,COD,240,0
36,2018,COM,240,0
37,2018,CYP,240,213323523
38,2018,CZE,240,242890907
39,2018,DJI,240,0
40,2018,EGY,240,247515945
41,2018,ERI,240,0
42,2018,ESP,240,537613384
43,2018,ETH,240,0
44,2018,FIN,240,49590572
45,2018,GIN,240,0
46,2018,GMB,240,0
47,2018,GRC,240,481269146
48,2018,HKG,240,8346556
49,2018,HRV,240,41306364
50,2018,IND,240,37534832
51,2018,IRL,240,1019998508
52,2018,IRQ,240,234487
53,2018,ITA,240,3315374988
54,2018,JOR,240,33016015
55,2018,JPN,240,11181681
56,2018,KAZ,240,9105640
57,2018,KEN,240,310065
58,2018,KOR,240,3322704
59,2018,KWT,240,3742859
60,2018,LBN,240,2912692
61,2018,LBR,240,0
62,2018,LBY,240,308478
63,2018,LKA,240,175822
64,2018,LVA,240,79081197
65,2018,MAR,240,41453833
66,2018,MDV,240,0
67,2018,MNE,240,157493
68,2018,MRT,240,0
69,2018,MUS,240,501885
70,2018,MYS,240,6563155
71,2018,NER,240,1221
72,2018,NGA,240,15120
73,2018,NOR,240,60574191
74,2018,NPL,240,226838
75,2018,NZL,240,1261983205
76,2018,OMN,240,1527338
77,2018,PAK,240,34809
78,2018,PER,240,1358445
79,2018,PHL,240,1273338
80,2018,PLW,240,0
81,2018,PSE,240,1577063
82,2018,QAT,240,90638
83,2018,ROU,240,57883865
84,2018,SAU,240,254019778
85,2018,SDN,240,10298
86,2018,SEN,240,176277
87,2018,SLE,240,0
88,2018,SOM,240,0
89,2018,SSD,240,21820
90,2018,SWE,240,78582157
91,2018,SYC,240,0
92,2018,SYR,240,4351129
93,2018,THA,240,4458500
94,2018,TKM,240,0
95,2018,TZA,240,0
96,2018,UGA,240,40343
97,2018,VNM,240,3815940
98,2018,YEM,240,0
99,2018,ZAF,240,40974529
100,2018,TWN,240,2201726
101,2018,ANS,240,16273415
102,2018,BOL,240,27065
103,2018,CHL,240,27147422
104,2018,COL,240,4167878
105,2018,IDN,240,3534604
106,2018,MEX,240,23946208
107,2018,MNG,240,80609
108,2018,PRY,240,982148
109,2018,RUS,240,64400279
110,2018,URY,240,111178160
111,2018,ALB,240,79600
112,2018,ATG,240,0
113,2018,BRB,240,1037
114,2018,CIV,240,47359
115,2018,CPV,240,0
116,2018,EST,240,63054560
117,2018,GEO,240,275113
118,2018,GRL,240,0
119,2018,ISL,240,7944191
120,2018,ISR,240,27002151
121,2018,KHM,240,1025
122,2018,LUX,240,135604632
123,2018,MDA,240,4654784
124,2018,MDG,240,1057
125,2018,MKD,240,1407240
126,2018,MLT,240,3093215
127,2018,MMR,240,0
128,2018,NAM,240,98746
129,2018,PAN,240,3606167
130,2018,PRT,240,44367221
131,2018,PYF,240,0
132,2018,SGP,240,13577826
133,2018,SRB,240,49955752
134,2018,SUR,240,96742
135,2018,SVK,240,166588260
136,2018,SVN,240,37967116
137,2018,SWZ,240,27839
138,2018,VCT,240,43335
139,2018,ZMB,240,3538
140,2018,AIA,240,0
141,2018,BEN,240,1552
142,2018,CMR,240,0
143,2018,COG,240,0
144,2018,CUB,240,0
145,2018,DOM,240,598848
146,2018,DZA,240,107168
147,2018,GAB,240,33893
148,2018,GHA,240,0
149,2018,GTM,240,298272
150,2018,MAC,240,20609
151,2018,MLI,240,5991
152,2018,PNG,240,0
153,2018,RWA,240,84287
154,2018,STP,240,0
155,2018,TGO,240,33407
156,2018,TUN,240,7737005
157,2018,MHL,240,0
158,2018,BHS,240,4962
159,2018,FLK,240,0
160,2018,VEN,240,123454
161,2018,LCA,240,0
162,2018,TTO,240,79302
163,2018,DMA,240,0
164,2018,GUY,240,2280
165,2018,HND,240,10085402
166,2018,JAM,240,5315194
167,2018,SLV,240,22601841
168,2018,SPM,240,0
169,2018,BLM,240,0
170,2018,BMU,240,15356
171,2018,CRI,240,17117458
172,2018,BFA,240,0
173,2018,FJI,240,22265
174,2018,PRK,240,0
175,2018,CUW,240,0
176,2018,NIC,240,115226401
177,2018,AND,240,0
178,2018,BWA,240,217287
179,2018,CAF,240,6548
180,2018,ECU,240,94110
181,2018,GNQ,240,0
182,2018,KGZ,240,5018274
183,2018,NCL,240,0
184,2018,SXM,240,154606
185,2018,TJK,240,0
186,2018,ZWE,240,0
187,2018,FRO,240,0
188,2018,LAO,240,5050
189,2018,MOZ,240,3116
190,2018,TLS,240,0
191,2018,GIB,240,0
192,2018,GNB,240,0
193,2018,GUM,240,0
194,2018,ATA,240,0
195,2018,CYM,240,0
196,2018,GRD,240,0
197,2018,HTI,240,0
198,2018,KNA,240,0
199,2018,MWI,240,1137
200,2018,TCD,240,0
201,2018,VGB,240,0
202,2018,VUT,240,0
203,2018,WLF,240,0
204,2018,SHN,240,0
205,2018,BTN,240,4472
206,2018,MNP,240,0
207,2018,SLB,240,0
208,2018,BES,240,0
209,2018,COK,240,68287
210,2018,NFK,240,0
211,2018,NIU,240,0
212,2018,TON,240,1028
213,2018,WSM,240,23183
214,2018,NRU,240,0
215,2018,FSM,240,0
216,2018,MSR,240,0
217,2018,TCA,240,0
218,2018,LSO,240,0
219,2018,KIR,240,0
220,2018,UMI,240,1515
221,2018,TUV,240,0
222,2018,TKL,240,0
223,2018,ABW,484,1080
224,2018,ARE,484,248145375
225,2018,CAN,484,2789520878
226,2018,CHN,484,470479831
227,2018,DEU,484,4085332762
228,2018,DNK,484,345653967
229,2018,FRA,484,2317107438
230,2018,GBR,484,1220118585
231,2018,IND,484,339860989
232,2018,IRN,484,10887287
233,2018,ITA,484,2439237131
234,2018,KAZ,484,15855740
235,2018,LTU,484,107490250
236,2018,MYS,484,694916387
237,2018,NLD,484,1879628612
238,2018,PAK,484,28030345
239,2018,PHL,484,95903666
240,2018,POL,484,1747754682
241,2018,THA,484,429586211
242,2018,TKM,484,673925
243,2018,TUR,484,942121446
244,2018,UKR,484,150345155
245,2018,USA,484,1967431231
246,2018,UZB,484,3338403
247,2018,AFG,484,16046
248,2018,AGO,484,52457
249,2018,ARG,484,69267432
250,2018,ARM,484,1016322
251,2018,AUS,484,146222979
252,2018,AUT,484,662371635
253,2018,AZE,484,978480
254,2018,BDI,484,2673
255,2018,BEL,484,2370166398
256,2018,BEN,484,90599
257,2018,BFA,484,0
258,2018,BGD,484,30753572
259,2018,BGR,484,234136041
260,2018,BHR,484,73668655
261,2018,BIH,484,32875816
262,2018,BLZ,484,32238
263,2018,BOL,484,9899634
264,2018,BRA,484,132208788
265,2018,BRN,484,86195
266,2018,BWA,484,31286
267,2018,CHE,484,145125847
268,2018,CIV,484,2748079
269,2018,CMR,484,957245
270,2018,COD,484,12875
271,2018,COG,484,13355
272,2018,COL,484,92110895
273,2018,COM,484,0
274,2018,CPV,484,854025
275,2018,CYP,484,3115499
276,2018,CZE,484,472803357
277,2018,DJI,484,0
278,2018,DZA,484,1444547
279,2018,ECU,484,10310213
280,2018,EGY,484,84215143
281,2018,ERI,484,0
282,2018,ESP,484,1093739948
283,2018,ETH,484,5963776
284,2018,FIN,484,71965901
285,2018,FJI,484,18745748
286,2018,GAB,484,316576
287,2018,GEO,484,542474
288,2018,GHA,484,4176018
289,2018,GIN,484,3384
290,2018,GMB,484,2830
291,2018,GNQ,484,0
292,2018,GRC,484,118449592
293,2018,GUY,484,50181
294,2018,HKG,484,192167527
295,2018,HRV,484,74076681
296,2018,HUN,484,107809568
297,2018,IDN,484,630664138
298,2018,IRL,484,360937461
299,2018,IRQ,484,61445
300,2018,JAM,484,16992192
301,2018,JOR,484,24087087
302,2018,JPN,484,338626053
303,2018,KEN,484,2098698
304,2018,KHM,484,724871
305,2018,KOR,484,247288163
306,2018,KWT,484,17224723
307,2018,LBN,484,22531192
308,2018,LBR,484,106082
309,2018,LBY,484,0
310,2018,LKA,484,9992891
311,2018,LVA,484,49565545
312,2018,MAC,484,10066925
313,2018,MAR,484,8951751
314,2018,MDA,484,14434494
315,2018,MDG,484,199422
316,2018,MDV,484,0
317,2018,MEX,484,1239493726
318,2018,MKD,484,61448330
319,2018,MLT,484,3796890
320,2018,MMR,484,802422
321,2018,MOZ,484,19454
322,2018,MRT,484,0
323,2018,MUS,484,1427103
324,2018,MWI,484,6352
325,2018,NAM,484,1221549
326,2018,NER,484,243347
327,2018,NGA,484,844475
328,2018,NOR,484,39747805
329,2018,NPL,484,167523
330,2018,NZL,484,115714225
331,2018,OMN,484,98926533
332,2018,PER,484,93674603
333,2018,PLW,484,25674
334,2018,PNG,484,1494815
335,2018,PRT,484,245032203
336,2018,PSE,484,3959409
337,2018,QAT,484,109840
338,2018,ROU,484,150434735
339,2018,RUS,484,333550661
340,2018,RWA,484,176106
341,2018,SAU,484,229671788
342,2018,SDN,484,60134
343,2018,SEN,484,2373377
344,2018,SGP,484,87401048
345,2018,SLE,484,0
346,2018,SOM,484,0
347,2018,SRB,484,107911930
348,2018,SSD,484,0
349,2018,SUR,484,163428
350,2018,SVK,484,115635606
351,2018,SVN,484,46072637
352,2018,SWE,484,489455212
353,2018,SWZ,484,458738
354,2018,SYC,484,19844
355,2018,SYR,484,6709867
356,2018,TCD,484,0
357,2018,TJK,484,28387
358,2018,TON,484,0
359,2018,TTO,484,18069814
360,2018,TUN,484,12252338
361,2018,TZA,484,9047624
362,2018,UGA,484,9185623
363,2018,URY,484,3145181
364,2018,VNM,484,196962381
365,2018,VUT,484,3956
366,2018,YEM,484,446593
367,2018,ZAF,484,88289668
368,2018,ZMB,484,22637830
369,2018,TWN,484,180835625
370,2018,ANS,484,32407727
371,2018,CHL,484,10881216
372,2018,CRI,484,91633680
373,2018,CUB,484,0
374,2018,DOM,484,18044710
375,2018,EST,484,68150807
376,2018,GRL,484,0
377,2018,ISR,484,95637881
378,2018,PAN,484,799999
379,2018,PRY,484,1686671
380,2018,SLV,484,112612232
381,2018,ALB,484,5248238
382,2018,BLR,484,30452234
383,2018,ISL,484,105433
384,2018,KGZ,484,8418447
385,2018,LUX,484,47460495
386,2018,MNE,484,559093
387,2018,MNG,484,156734
388,2018,AND,484,93650
389,2018,BRB,484,7576366
390,2018,CAF,484,0
391,2018,COK,484,0
392,2018,CUW,484,0
393,2018,FRO,484,5285
394,2018,GTM,484,78596874
395,2018,HND,484,32819279
